CP1 MT FUNNY|false|1065
871.2265014648438,364.97119140625,-754.8742065429688|-0,-0,-1|0,1,0|Running
871.2249145507812,364.97119140625,-754.8742065429688|0.03504803031682968,0.00006365573790390044,0.9993856549263|0.0000014317841987576685,1,-0.000063745079387445|Running
871.2262573242188,364.97119140625,-754.8740234375|-0.05577849596738815,0.00007135458145057783,0.9984431862831116|0.00000379145626538957,1,-0.00007125402771634981|Running
871.2105712890625,364.97119140625,-754.7256469726562|-0.1045263260602951,-8.361655545741087e-08,0.9945220947265625|-9.522443278342507e-09,1,8.307629428827568e-08|Running
871.169677734375,364.97119140625,-754.3397216796875|-0.10018926858901978,-7.39810275263153e-08,0.9949684143066406|-6.372944394428259e-09,1,7.371342292117333e-08|Running
871.11669921875,364.97119140625,-753.8172607421875|-0.08497978746891022,-6.438280308884714e-08,0.9963826537132263|-2.461436166001363e-09,1,6.44066062704951e-08|Running
871.0588989257812,364.97119140625,-753.1532592773438|-0.05451609194278717,-5.2477499679071116e-08,0.998512864112854|2.9840101500866467e-09,1,5.27185726184598e-08|Running
871.0347900390625,364.97119140625,-752.7539672851562|-0.034899890422821045,-4.53751418660886e-08,0.9993908405303955|6.103378247246383e-09,1,4.561593769381034e-08|Running
871.0144653320312,364.97119140625,-752.2210693359375|-0.02617572247982025,-3.593414277247575e-08,0.9996573328971863|9.278969592685371e-09,1,3.618942656657964e-08|Running
870.999755859375,364.97119140625,-751.6878662109375|-0.017452422529459,-2.652364194943857e-08,0.9998477101325989|1.2369683943802556e-08,1,2.6743595782363627e-08|Running
870.98974609375,364.97119140625,-751.1546630859375|-0.015271184965968132,-1.7126891904695185e-08,0.9998834133148193|1.5200930292280646e-08,1,1.7361053039621765e-08|Running
870.9814453125,364.97119140625,-750.6214599609375|-0.013091543689370155,-7.743921948133448e-09,0.999914288520813|1.8009302493737778e-08,1,7.980375471561274e-09|Running
870.9743041992188,364.97119140625,-750.0882568359375|-0.013091543689370155,1.6310306438782618e-09,0.999914288520813|2.0777497056201355e-08,1,-1.3591375802590733e-09|Running
870.9672241210938,364.97119140625,-749.5550537109375|-0.013091543689370155,1.0997973198811906e-08,0.999914288520813|2.3543321958641172e-08,1,-1.069067057102302e-08|Running
870.9601440429688,364.97119140625,-749.0218505859375|-0.013091543689370155,2.0356912600050237e-08,0.999914288520813|2.6306782530127748e-08,1,-2.0014232049447855e-08|Running
870.9530639648438,364.97119140625,-748.4886474609375|-0.013091543689370155,2.9707855730976007e-08,0.999914288520813|2.9067878770661082e-08,1,-2.932982567926956e-08|Running
870.9459838867188,364.97119140625,-747.9554443359375|-0.010908025316894054,3.9045030320039587e-08,0.9999405145645142|3.17624966328367e-08,1,-3.8700868287833146e-08|Running
870.9400024414062,364.97119140625,-747.4222412109375|-0.010908025316894054,4.837423261960794e-08,0.9999405145645142|3.451887309324775e-08,1,-4.800055464215802e-08|Running
870.9341430664062,364.97119140625,-746.8890380859375|-0.010908025316894054,5.769546618239474e-08,0.9999405145645142|3.727289055177607e-08,1,-5.729230068141078e-08|Running
870.9282836914062,364.97119140625,-746.3558349609375|-0.008729223161935806,6.700294363781722e-08,0.9999619126319885|3.989963204276137e-08,1,-6.6657186437169e-08|Running
870.9234619140625,364.97119140625,-745.8226318359375|-0.008729223161935806,7.63024630145992e-08,0.9999619126319885|4.264894570837896e-08,1,-7.593305895170488e-08|Running
870.9176635742188,364.97119140625,-745.1561279296875|-0.008729223161935806,8.791567296384528e-08,0.9999619126319885|4.608227754943073e-08,1,-8.751674585028013e-08|Running
870.9141845703125,364.97119140625,-744.7562255859375|-0.008729223161935806,9.487764884852368e-08,0.9999619126319885|4.8140520902961725e-08,1,-9.446102211541074e-08|Running
870.9083862304688,364.97119140625,-744.0897216796875|-0.008729223161935806,1.064710275500147e-07,0.9999619126319885|5.156799076644347e-08,1,-1.0602492039879508e-07|Running
870.9049072265625,364.97119140625,-743.6898193359375|-0.008729223161935806,1.1342110894929647e-07,0.9999619126319885|5.362271338071878e-08,1,-1.1295732349481113e-07|Running
870.9002685546875,364.97119140625,-743.1566162109375|-0.008729223161935806,1.2268094451428624e-07,0.9999619126319885|5.636029598576897e-08,1,-1.2219362588439253e-07|Running
870.8956298828125,364.97119140625,-742.6234130859375|-0.008729223161935806,8.34801028304355e-08,0.9999619126319885|3.744771248648249e-08,1,-8.31563795600232e-08|Running
870.8898315429688,364.97119140625,-741.9569091796875|-0.008729223161935806,1.4348275456654846e-08,0.9999619126319885|4.814608267622589e-09,1,-1.4306793083562752e-08|Running
870.8863525390625,364.97119140625,-741.5570068359375|-0.008729223161935806,-2.709536417455638e-08,0.9999619126319885|-1.4748517962459573e-08,1,2.696764944687402e-08|Running
870.8817138671875,364.97119140625,-741.0238037109375|-0.008729223161935806,-8.231221926280341e-08,0.9999619126319885|-4.081318039084181e-08,1,8.195907952313064e-08|Running
870.8770751953125,364.97119140625,-740.4906005859375|-5.122274160385132e-08,-7.435818361045676e-08,1|-3.580030849548166e-08,1,7.435818361045676e-08|Running
870.8764038085938,364.97119140625,-739.8237915039062|0.028357770293951035,-6.458130741293644e-08,0.9995978474617004|-2.831258427704597e-08,1,6.541049657471376e-08|Running
870.8856201171875,364.97119140625,-739.4238891601562|0.028357531875371933,-5.872019315233956e-08,0.9995978474617004|-2.5096532851875963e-08,1,5.9455778966821526e-08|Running
870.900634765625,364.97119140625,-738.8906860351562|0.028357531875371933,-5.091121124678466e-08,0.9995978474617004|-2.0811647516438825e-08,1,5.1522100363854406e-08|Running
870.9195556640625,364.97119140625,-738.2241821289062|0.028357531875371933,-4.1159371022558844e-08,0.9995978474617004|-1.5460688729262984e-08,1,4.161453048823205e-08|Running
870.930908203125,364.97119140625,-737.8242797851562|0.028357531875371933,-3.531325987182754e-08,0.9995978474617004|-1.2252854730832041e-08,1,3.5675068232876583e-08|Running
870.946044921875,364.97119140625,-737.2910766601562|0.028357531875371933,-2.7524276191570607e-08,0.9995978474617004|-7.9789383988782e-09,1,2.7761704046724844e-08|Running
870.961181640625,364.97119140625,-736.7578735351562|0.028357531875371933,-1.9741943191320388e-08,0.9995978474617004|-3.70867225818472e-09,1,1.9855097121990184e-08|Running
871.112548828125,364.97119140625,-736.2857055664062|0.028357531875371933,-1.1966259094720044e-08,0.9995978474617004|5.579472439620758e-10,1,1.1955244794137343e-08|Running
871.4579467773438,364.97119140625,-735.9004516601562|0.028357531875371933,-4.197217240431428e-09,0.9995978474617004|4.820922772097447e-09,1,4.062141290006593e-09|Running
871.8446044921875,364.97119140625,-735.53369140625|0.028357531875371933,3.565188144705189e-09,0.9995978474617004|9.080258323024282e-09,1,-3.8242200517402125e-09|Running
872.2322998046875,364.97119140625,-735.16748046875|0.028357531875371933,1.1320962833849535e-08,0.9995978474617004|1.3335956339233235e-08,1,-1.1703844116084383e-08|Running
872.6199951171875,364.97119140625,-734.80126953125|0.03271783888339996,1.9050521160579592e-08,0.9994646310806274|1.7536832430664617e-08,1,-1.9634800452195122e-08|Running
873.0089721679688,364.97119140625,-734.4364624023438|0.03490050509572029,2.6763620653014186e-08,0.9993907809257507|2.1742334155305798e-08,1,-2.7539215352589963e-08|Running
873.3988647460938,364.97119140625,-734.0726318359375|0.03707752749323845,3.4460271081115934e-08,0.9993124008178711|2.5927080926635426e-08,1,-3.544595728044442e-08|Running
873.7896118164062,364.97119140625,-733.7095947265625|0.03707752749323845,4.215034365984138e-08,0.9993124008178711|3.016824123847073e-08,1,-4.329868019681271e-08|Running
874.2781982421875,364.97119140625,-733.256103515625|0.03707752749323845,5.1753691110434374e-08,0.9993124008178711|3.5464598369117084e-08,1,-5.3105146946563764e-08|Running
874.4899291992188,364.97119140625,-732.9466552734375|0.03707752749323845,5.7510778361802295e-08,0.9993124008178711|3.863969411099788e-08,1,-5.898399990655889e-08|Running
874.5887451171875,364.97119140625,-732.4498901367188|0.03707752749323845,6.518115469589247e-08,0.9993124008178711|4.286999200076025e-08,1,-6.68166109107915e-08|Running
874.6110229492188,364.97119140625,-731.9180908203125|0.03707752749323845,7.284498337867262e-08,0.9993124008178711|4.709666967528392e-08,1,-7.46425357078806e-08|Running
874.630859375,364.97119140625,-731.3851318359375|0.03707752749323845,8.050225375200171e-08,0.9993124008178711|5.131973779270993e-08,1,-8.246176719239884e-08|Running
874.650634765625,364.97119140625,-730.8521728515625|0.03707752749323845,8.81529871321618e-08,0.9993124008178711|5.553919635303828e-08,1,-9.027431957520093e-08|Running
874.67041015625,364.97119140625,-730.3192138671875|0.03707752749323845,9.57971835191529e-08,0.9993124008178711|5.975504535626897e-08,1,-9.808019285628689e-08|Running
874.690185546875,364.97119140625,-729.7862548828125|0.03707752749323845,1.03434842912975e-07,0.9993124008178711|6.39672990132567e-08,1,-1.0587939414108405e-07|Running
874.7099609375,364.97119140625,-729.2532958984375|0.0349016971886158,1.1107574238167217e-07,0.999390721321106|6.840631527893493e-08,1,-1.1353240836342593e-07|Running
874.7426147460938,364.97119140625,-728.3206176757812|0.034898363053798676,5.0672618101543776e-08,0.9993908405303955|3.0747667523201017e-08,1,-5.1777199416847e-08|Running
874.7611694335938,364.97119140625,-727.7876586914062|0.032716888934373856,-7.28062499177895e-10,0.9994646310806274|-9.183791505051886e-10,1,7.585150840760946e-10|Running
874.7744140625,364.97119140625,-727.387939453125|0.03053811751306057,-3.930434999688259e-08,0.9995335936546326|-2.473644222789062e-08,1,4.0078447227642755e-08|Running
874.78271484375,364.97119140625,-727.1214599609375|0.028356818482279778,-6.504443916810487e-08,0.9995978474617004|-4.0692970770805914e-08,1,6.622499171271556e-08|Running
